user,tweet1,tweet2,tweet3,tweet4,tweet5,tweet6,tweet7,tweet8,tweet9,tweet10,ratings
KpopMx9,"RT @bmurphy63: #AmberHeard, already universally despised for abusing &amp; defaming #JohnnyDepp, announces her intention to “write tell-all boo…","RT @M2Cyndy: La urgencia de López para hacer el AIFA era para traer venezolanos, ya van como 4500 que han llegado al país, y lo raro es que…","RT @MojahedFudailat: Johnny Depp Team demands Amber Heard to SHUT UP
#JohnnyDepp #AmberHeard #animation 
https://t.co/VKLfZny54e https://t.…",RT @Ketnipz: https://t.co/sScV0qkHvq,RT @RicardoChuaA: Eso sucede cuando el político tiene verborrea mental y se equivoca. En #Argentina solo interpretan lo que entienden de @l…,"RT @Ricardo_PalmaC: El día de hoy me avisan que tras asesinar a los dos sacerdotes en el poblado de Cerocahui, Chihuahua, sujetos armados i…","RT @HekateBlack: All of you who had your nose broken, tell me if you had this face right after you had your nose broken? Even with makeup?…","RT @francesweetman: If trans people had actually been banned from sport, I’d be there with a trans rights flag protesting, bellowing that i…","RT @arianaromaniuk_: Estaría bueno q dejaran de preguntarme si estoy enojada, a veces disfruto estar sentada en silencio con cara de q quie…","RT @arianaromaniuk_: Estaría bueno q dejaran de preguntarme si estoy enojada, a veces disfruto estar sentada en silencio con cara de q quie…",0.0
thankyoustories,@curious10665 @MojahedFudailat Some people didn't watch the trial,"RT @MojahedFudailat: Johnny Depp Team demands Amber Heard to SHUT UP
#JohnnyDepp #AmberHeard #animation 
https://t.co/VKLfZny54e https://t.…",RT @Storm4Congress: @MdBreathe @Publix Indeed: https://t.co/lq0G7EJpAa,"RT @Dr_Bry_So_Fly: @Breaking911 Kroger lost my business when they reduced health coverage for unvaccinated.

Publix has now earned my busin…",RT @BehizyTweets: We should all start shopping at Publix,RT @DA67772709: This is EXACTLY what needs to happen. Well done Publix 👏,RT @TRHLofficial: Hell yeah @Publix !,RT @realDailyWire: Publix Won’t Do COVID Vax For Kids Under 5 — Offers No Explanation https://t.co/OGQnfppmYm https://t.co/JybqLU3UNA,"RT @ThePr0diga1S0n: This is the way:

“Major grocery chain &amp; pharmacy retailer Publix will not offer vaccinations to the nation’s youngest…","RT @ThePr0diga1S0n: This is the way:

“Major grocery chain &amp; pharmacy retailer Publix will not offer vaccinations to the nation’s youngest…",0.0
WARHAMMER_T1TAN,RT @WholesomeMeme: https://t.co/RLNYvJDmuW,"RT @bmurphy63: #AmberHeard, already universally despised for abusing &amp; defaming #JohnnyDepp, announces her intention to “write tell-all boo…","RT @IGN: “[The Spot] has so much unrealized potential. If you ever played the game Portal, you know you could do some s**t with these super…","RT @ShopCrunchyroll: Not quite as big as an actual Titan, but this XL POP UP PARADE figure is a lot less destructive...! Eren Yeager in his…","RT @iamalitayyeb: #PS5Share, #GranTurismo7 This is all gameplay looks many times better than Fraudza motorsports 8 replays https://t.co/xor…",RT @xxxblackmagexx: #IBelieveAmberHeard is a liar and a fraud! https://t.co/HD8MoDQ51a,"RT @CharlieInUtah: If you are tweeting #IBelieveAmberHeard for anything, you are pathetic and disgusting for supporting an abuser.","RT @craigy_xo: The disgusting Amber supporters are out again, with their #IBelieveAmberHeard hashtag.

Absolutely vile.",RT @RePuBlIcGaMeR3: Whoever is using this hashtag why 90% of them joined either on April or June 😂😂 and their reply section is blocked. Say…,"RT @craigy_xo: The disgusting Amber supporters are out again, with their #IBelieveAmberHeard hashtag.

Absolutely vile.",0.0
JudyCor40231800,RT @deppshart: let’s take a moment to appreciate this hair pls &amp; thank u. #JohnnyDepp https://t.co/sIsOS8sjwV,RT @LiaMelPar: @hrrysgreysuit It’s gotta be the most BORING life ever for him.,RT @Sandra80281925: @hrrysgreysuit Can anyone look at his face and say he looks happy?,RT @stoneydepp: went there just to smell sauvage pls https://t.co/jBxvMNvSES,RT @centraldepp: Johnny Depp. https://t.co/xIoguYasEl,"RT @roaringrapids22: ""...Money [&amp; success] doesn't change anybody. Money reveals them....I've been revealed. I don't think I've changed, I'…","RT @LouLouLa10: Its only a matter of time now for the Harkles being given the boot!

Netflix braces for MORE layoffs by the end of the week…","RT @Shaz204727916: The Duke and Duchess 
join families at Waterloo
station. The new statue is
to commemorate Windrush..
I’m loving seen all…",RT @SkillsLevel: Team work makes the work easier https://t.co/aykXiIgTbK,RT @CreatureNature_: I am not going any one moma ❤️ https://t.co/XHlcfPIU7n,0.0
EttipsRodrguezR,"RT @roaringrapids22: ""...Money [&amp; success] doesn't change anybody. Money reveals them....I've been revealed. I don't think I've changed, I'…",RT @andysignore: AWKWARD! Cara Delevingne Friends with Johnny Depp’s DAUGHTER?! + Amber Heard’s Girlfriend Eve Barlow Goes INSANE in her re…,"RT @DarkSelene3: This madwoman wants to make believe Lily-Rose was against her father! 
It didn't occur to you JD purposely asked her not t…","RT @CynthiaViteri6: Ya Rafael, acá estamos en otro trip.",RT @AnderssonBoscan: La dirigencia indígena habla ya del punto 11: van por la cabeza del presidente.,RT @arickroxy: Didn’t Amber say something along the lines of “I did everything I could to make the relationship work.” Bringing a bunch of…,RT @sheluvyarii: to avoid disappointment expect nothing from nobody.,RT @Mompreneur_of_3: Remember Amber Heard said the affairs were all in Johnny Depp's head! This is exactly what narcissists do. They gaslig…,Muy buen trabajo https://t.co/xcrSmwdJhx,Muy buen trabajo https://t.co/xcrSmwdJhx,0.0
Anagnorisis25,"RT @ChocChipPony: Johnny wants to be with his fans. 

Something I managed to do in my burnout lol.

#JohnnyDepp #JohnnyDeppWon #Fanart #Art…",RT @piinkimi_: nurse hello kitty plushie https://t.co/VEmiM9A608,"RT @ChocChipPony: Johnny wants to be with his fans. 

Something I managed to do in my burnout lol.

#JohnnyDepp #JohnnyDeppWon #Fanart #Art…",RT @piinkimi_: nurse hello kitty plushie https://t.co/VEmiM9A608,"RT @persona_day: The Persona Character Of The Day is Yukiko Amagi from Persona 4. #YukikoAmagi
#Persona4 #Persona #SMT https://t.co/6UdXBxO…","RT @Lay92378283: “Let's go!”
#CloudStrife 
#AerithGainsborough 
#FF7 
#FF7R https://t.co/YQH6GWP0m8",RT @TranslatedCats: I'll take care of it. https://t.co/MejlpRUU4K,"RT @kay_i_art: peace comes after a war...
#FF7R #Sephiroth #Aerith #セフィエア https://t.co/5uIZ0p4p7b",RT @ut_kakinotane: 遅起きしました、おはようございます https://t.co/cbwXsTRGi9,RT @kapebeansies: https://t.co/tdYMOFzBB8,0.0
Im_Little_Soapy,"RT @itsmarinoula: Didn’t #AmberHeard testify in UK that she never had an affair with Cara? #JohnnyDepp wasn't ""just being paranoid"" after a…",RT @JohnBar00589422: Remember when Fang Fang infiltrated the entire Republican party &amp; half of  them were ready to leave their wives for he…,RT @MeidasTouch: BREAKING: Arizona’s top drag queen reveals the shocking and hate-filled hypocrisy of Republican gubernatorial candidate Ka…,"RT @Meidas_Staci: @MeidasTouch @thebarbra1 Oh I am so in for this @MeidasTouch 

#ByeKari is my state and she has got to go
thank you @theb…","RT @washingtonpost: Arizona GOP gubernatorial candidate Kari Lake, who has attacked drag queens as dangerous to children, attended the show…",RT @MeidasTouch: BREAKING: Arizona’s top drag queen reveals the shocking and hate-filled hypocrisy of Republican gubernatorial candidate Ka…,"RT @ThatUmbrella: Amber Heard FAKED a Black Lives Matters protest picture for clout, even hiring a fake police officer to stand behind her…","RT @morethanmySLE: Jim Jordan every time you trend, I will remind the world that you joked around while I testified. I'm a person with disa…",RT @GenesisWester: @dtbbythesea @patriottakes Filled out a form and submitted the complaint in less than 5 minutes… the associate pastors n…,RT @patriottakes: Kari Lake advertised the event on her social media. https://t.co/G7hWs6Jt4o,0.0
OlmanBaby,@Jim_Jordan We have no say what they teach our kids ?,"RT @Jim_Jordan: Don’t think Red Flag laws can be abused? 

Just look at what our government did to parents at school board meetings.","RT @accesshollywood: In her first one-on-one TV interview, #JohnnyDepp’s attorney #CamilleVasquez exclusively joins @mariolopezviva for an…",@JusticeSquad2 I got to see this movie,@JusticeSquad2 I got to see this movie,RT @VP: So many parents and families have waited for this moment. Millions of our youngest ones under 5 can now get the protection of vacci…,RT @VP: So many parents and families have waited for this moment. Millions of our youngest ones under 5 can now get the protection of vacci…,@StevenCrowley She is smart ...people will talk about it .,RT @StevenCrowley: Amber Heard is rumored to be on her way to Ukraine to visit Zelensky and offer her support.,RT @FoxNews: ALL SHOOK UP: Elvis Presley’s daughter breaks silence on new movie. https://t.co/KJRZyifxK4 https://t.co/ir0DRIc0ME,0.0
willamesbury,RT @roaringrapids22: #JohnnyDepp is one of the 1 in 4 men that have been in an abusive relationship; is one of the 1 in 7 men that have fac…,@Real_BryanJost safe travels,RT @RampCapitalLLC: When my -33% turns into -50% again https://t.co/rbp3TComhR,RT @RampCapitalLLC: Doubling down on all of my -50% positions so they’re only down -33% now,RT @PlayoffTanaka_: She’s a 10 but she thinks Aroldis Chapman should be the Yankees closer over Clay Holmes,"RT @Hawk: My son has zero pocket presence and my daughters can’t block for sh*t, but I love them anyway.

Happy Fathers Day yo all who cele…",@aleexsmitth I am devastated,RT @javroar: ive never seen a puppy pull a prank before this was too cute not to share😭 https://t.co/xIoSVIEKDm,:( https://t.co/c58mTkSyM9,Please be better than CLB https://t.co/oKfYw4JQE7,0.0
BelleDcAndMe,"RT @colonelkurtz99: Eve I have no fucking problem with @ThatUmbrella making as much money as Amber makes for her awful acting. 

Actually a…",RT @Truthse10335075: Cara Delevigne was not plucked fom obscurity like Kate Moss or Noemi Campbell - her rich parents and god father gave h…,RT @HonourPeriod: @nypost That's nice. Her next victim can think about how beautiful she is while she is burying her fist in their face.,"@nypost 🤣🤣🤣🤣🤣😂😂🤣🤣😂😂😂🤣😂🤣🤣😂😂🤣😂🤣😂🤣😂 Stop it please my sides are killing me, oh bugger here I go again 🤣😂🤣😂🤣🤣🤣😂😂😂😂😂😂🤣😂🤣🤣😂😂🤣🤣😂🤣😂😂🤣😂😂🤣🤣🤣🤣😂",RT @HimchanPastel: #ISupportAmberHeard Just a reminder for all the gross Amber turd supporters out there. Your girly lost and was PROVEN A…,"RT @LauraBockov: ""If you have a battered wife or spouse situation, why would you buy the other person, the ‘aggressor,’ a knife?  #JusticeF…",@TMZ This is so FAKE. Obviously her PR team set this up.,RT @InimitableNeuro: Woah https://t.co/l4PqDhXa4N,RT @sunflxwervolsix: Johnny Depp and Ben Chew repressing my mood every time Amber opens her mouth with another ridiculous statement. https:…,"RT @Lexicutioner22: I mean....yeah.... #AmberHeardDoesNOTSpeakForMe 
#AmberHeardlsALiar #JohnnyDeppGotJustice https://t.co/JrcJc3P0C8",0.0
